frame,layout_fibers,paint_fibers,paint_replayed,prepaint_fibers,prepaint_replayed,mutated_segments,total_segments,hitboxes,hitboxes_rebuilt,upload_bytes,quads,mono_sprites,poly_sprites,reconcile_us,layout_us,prepaint_us,paint_us,total_us
201,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,144,347,4,10,554
202,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,136,0,3,8,152
203,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,126,0,3,8,142
204,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,153,0,6,11,174
205,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,150,0,5,10,169
206,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,120,0,3,8,135
207,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,127,0,3,8,142
208,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,125,0,4,9,141
209,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,124,820,4,11,1013
210,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,140,428,5,10,633
211,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,144,407,4,10,616
212,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,165,518,7,14,756
213,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,147,395,5,11,608
214,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,140,406,6,12,615
215,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,145,371,5,12,584
216,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,158,380,6,13,607
217,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,204,0,7,14,229
218,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,187,0,7,13,214
219,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,171,0,6,12,192
220,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,177,0,7,13,201
221,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,174,0,5,11,195
222,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,174,884,7,14,1144
223,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,192,505,6,14,772
224,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,156,446,6,12,673
225,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,184,0,6,12,206
226,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,160,558,7,14,791
227,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,161,480,6,13,713
228,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,182,493,7,16,747
229,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,151,0,5,10,169
230,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,151,463,6,15,685
231,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,147,412,5,11,625
232,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,159,0,4,11,177
233,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,155,0,6,12,176
234,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,166,752,7,13,991
235,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,181,0,7,12,203
236,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,174,519,6,12,763
237,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,157,463,7,15,694
238,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,183,542,8,15,802
239,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,166,0,8,13,190
240,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,154,565,7,13,792
241,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,162,390,6,12,618
242,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,166,421,5,12,690
243,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,188,433,7,14,705
244,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,192,468,7,14,741
245,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,185,454,7,18,722
246,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,195,387,6,17,663
247,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,194,489,7,15,763
248,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,175,447,7,14,703
249,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,178,514,7,13,796
250,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,159,0,6,12,180
251,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,138,0,4,10,156
252,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,147,0,5,11,168
253,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,164,0,6,12,187
254,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,131,885,4,10,1116
255,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,166,442,6,12,689
256,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,162,422,6,12,666
257,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,146,408,5,12,631
258,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,170,434,6,13,684
259,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,150,0,4,10,168
260,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,170,0,5,11,190
261,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,150,0,5,12,172
262,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,190,0,7,14,217
263,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,133,0,4,9,150
264,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,129,0,5,11,149
265,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,148,0,5,11,168
266,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,132,0,5,11,152
267,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,140,0,4,10,158
268,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,142,865,5,12,1087
269,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,154,447,5,13,682
270,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,133,383,4,11,589
271,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,140,381,4,11,593
272,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,137,391,12,21,620
273,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,170,471,6,12,716
274,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,146,344,4,11,560
275,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,170,453,6,20,706
276,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,145,0,6,11,166
277,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,232,653,11,19,975
278,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,166,853,7,14,1099
279,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,156,420,6,11,650
280,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,164,402,6,14,646
281,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,200,538,8,16,822
282,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,198,645,13,19,934
283,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,193,672,9,17,948
284,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,175,0,9,15,203
285,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,168,614,8,15,858
286,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,153,448,6,13,671
287,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,204,539,8,15,815
288,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,164,0,6,12,186
289,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,146,529,6,13,746
290,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,171,478,7,15,723
291,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,148,363,5,12,577
292,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,140,389,5,11,596
293,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,178,463,8,14,712
294,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,153,376,7,12,599
295,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,160,423,6,12,650
296,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,147,376,5,11,589
297,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,165,434,6,11,666
298,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,137,0,4,9,154
299,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,148,448,5,12,663
300,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,147,411,5,11,635
301,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,191,412,5,12,670
302,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,141,402,5,12,611
303,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,167,534,9,16,779
304,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,168,439,5,11,675
305,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,177,0,8,13,202
306,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,168,0,7,13,192
307,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,172,0,7,14,197
308,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,174,0,8,13,199
309,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,156,0,6,12,178
310,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,194,0,9,16,223
311,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,167,0,7,12,189
312,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,159,0,5,12,179
313,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,161,0,6,11,181
314,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,147,0,5,11,166
315,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,170,841,7,13,1084
316,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,143,429,5,12,641
317,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,146,459,5,12,675
318,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,150,0,5,10,169
319,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,142,0,5,10,161
320,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,143,0,5,11,162
321,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,130,0,5,9,148
322,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,130,0,4,10,148
323,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,139,734,4,10,939
324,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,197,435,5,12,700
325,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,165,472,7,14,709
326,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,146,0,5,11,165
327,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,160,654,7,15,888
